id,question,answer,category
1725,"What is the company policy on parking policy for intern employees in the workplace & facilities framework, scenario #3737?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 9th.,Workplace & Facilities
1726,"What is the company policy on core hours for probationary employees in the attendance framework, scenario #5448?",Employees on flexible schedules must be available during core hours from 8:00 AM to 4:30 PM.,Attendance
1727,"What is the company policy on reward nomination for contract employees in our performance management framework, scenario #4841?",Spot award nominations should be submitted within 16 days of the recognized contribution.,Performance Management
1728,"What is the company policy on canteen subsidy for engineering employees in our workplace & facilities framework, scenario #3775?",Eligible employees receive canteen subsidy of ₹10000 per working day.,Workplace & Facilities
1729,"What is the company policy on mfa requirement for full-time employees in our it & security framework, scenario #5259?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1730,"What is the company policy on ergonomic support for managerial employees in the workplace & facilities framework, scenario #1562?",Employees may request ergonomic equipment through Facilities subject to role need and stock.,Workplace & Facilities
1731,"What is the company policy on resignation notice for sales employees in our separation framework, scenario #5776?",Notice period for sales employees is 16 days unless the contract states otherwise.,Separation
1732,"What is the company policy on emergency drill for probationary employees in our workplace & facilities framework, scenario #467?",Employees must participate in at least 10 emergency drill(s) per year where scheduled.,Workplace & Facilities
1733,"What is the company policy on working hours for sales employees in our attendance framework, scenario #8385?",Standard working hours are 9:30 AM to 6:30 PM with a 45-minute meal break.,Attendance
1734,"What is the company policy on referral bonus for contract employees in the recruitment framework, scenario #1926?",Employee referral bonus of ₹1200 is paid after the referred hire completes 23 months of service.,Recruitment
1735,"What is the company policy on internet reimbursement for full-time employees in our remote work framework, scenario #7534?",Remote employees may claim internet reimbursement of up to ₹10000 per month.,Remote Work
1736,"What is the company policy on investigation cooperation for intern employees in the code of conduct framework, scenario #9006?",Employees are required to cooperate with internal investigations and provide information within 9 working days when requested.,Code of Conduct
1737,"What is the company policy on home office for probationary employees in the remote work framework, scenario #3237?",The company reimburses up to ₹500000 once every 28 months for approved home-office items.,Remote Work
1738,"What is the company policy on paternity leave for contract employees in our leave policy framework, scenario #3369?",Eligible employees may take 24 working days of paternity leave within 6 days of childbirth or adoption.,Leave Policy
1739,"What is the company policy on reward nomination for probationary employees in our performance management framework, scenario #9132?",Spot award nominations should be submitted within 26 days of the recognized contribution.,Performance Management
1740,"What is the company policy on buyout policy for intern employees in our separation framework, scenario #9384?",Notice buyout may be allowed for up to 16 days subject to management approval.,Separation
1741,"What is the company policy on accident cover for intern employees in our benefits framework, scenario #7803?",Accident insurance cover of ₹3000 is provided for employees on company rolls.,Benefits
1742,"What is the company policy on substance policy for support employees in our code of conduct framework, scenario #2936?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
1743,"What is the company policy on candidate travel for full-time employees in our recruitment framework, scenario #5046?",Interview travel reimbursement must be claimed within 28 days of the interview date.,Recruitment
1744,"What is the company policy on password reset for intern employees in the it & security framework, scenario #6300?",Passwords must be changed at least once every 10 days or earlier if compromise is suspected.,IT & Security
1745,"What is the company policy on childcare support for probationary employees in our benefits framework, scenario #7408?",Eligible employees may claim childcare support up to ₹500 per month for children up to age 23.,Benefits
1746,"What is the company policy on remote eligibility for full-time employees in our remote work framework, scenario #2593?",full-time employees may work remotely up to 19 days per week subject to role suitability.,Remote Work
1747,"What is the company policy on meal benefit for engineering employees in our benefits framework, scenario #1571?",Eligible employees receive meal benefit support of up to ₹1200 per month.,Benefits
1748,"What is the company policy on investigation cooperation for support employees in the code of conduct framework, scenario #5682?",Employees are required to cooperate with internal investigations and provide information within 7 working days when requested.,Code of Conduct
1749,"What is the company policy on incident reporting for intern employees in our it & security framework, scenario #5746?",Suspected security incidents must be reported within 16 hour(s) of discovery.,IT & Security
1750,"What is the company policy on visa expense for managerial employees in our travel policy framework, scenario #7264?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
1751,"What is the company policy on meal benefit for full-time employees in our benefits framework, scenario #443?",Eligible employees receive meal benefit support of up to ₹1500 per month.,Benefits
1752,"What is the company policy on travel allowance for full-time employees in the compensation framework, scenario #9948?",Domestic business travel provides a daily allowance of ₹5000 for meals and local transport.,Compensation
1753,"What is the company policy on core hours for full-time employees in the attendance framework, scenario #2895?",Employees on flexible schedules must be available during core hours from 10:00 AM to 4:30 PM.,Attendance
1754,"What is the company policy on access card for full-time employees in our workplace & facilities framework, scenario #6997?",Lost access cards must be reported within 27 hour(s) and replacement charges may apply.,Workplace & Facilities
1755,"What is the company policy on education support for intern employees in the benefits framework, scenario #875?",Job-related certification reimbursement is capped at ₹750 per year after manager approval.,Benefits
1756,"What is the company policy on working hours for full-time employees in our attendance framework, scenario #3313?",Standard working hours are 8:00 PM to 5:00 PM with a 60-minute meal break.,Attendance
1757,"What is the company policy on usb policy for sales employees in the it & security framework, scenario #6716?",Use of personal USB devices on company systems is prohibited unless approved for up to 8 days.,IT & Security
1758,"What is the company policy on casual leave for support employees in the leave policy framework, scenario #6540?",Casual leave entitlement is 25 days per year and should normally be applied for at least 8 working day(s) in advance.,Leave Policy
1759,"What is the company policy on core hours for managerial employees in our attendance framework, scenario #148?",Employees on flexible schedules must be available during core hours from 8:00 PM to 6:30 PM.,Attendance
1760,"What is the company policy on reward nomination for probationary employees in the performance management framework, scenario #8813?",Spot award nominations should be submitted within 25 days of the recognized contribution.,Performance Management
1761,"What is the company policy on full and final settlement for intern employees in our separation framework, scenario #4298?",Full and final settlement is generally processed within 15 days after separation documentation is complete.,Separation
1762,"What is the company policy on hotel cap for full-time employees in our travel policy framework, scenario #8508?",Hotel reimbursement is capped at ₹300000 per night for travel to tier-3 cities.,Travel Policy
1763,"What is the company policy on attendance impact for full-time employees in the performance management framework, scenario #6936?",Unresolved attendance issues over 17 instances in a quarter may affect performance discussions.,Performance Management
1764,"What is the company policy on travel advance for engineering employees in the travel policy framework, scenario #5870?",Travel advance requests must be raised at least 25 working days before the trip.,Travel Policy
1765,"What is the company policy on intern conversion for managerial employees in the recruitment framework, scenario #1531?",Intern-to-full-time conversion is evaluated during the final 9 weeks of internship.,Recruitment
1766,"What is the company policy on screen lock for intern employees in the it & security framework, scenario #5679?",Devices must auto-lock after 1 minutes of inactivity.,IT & Security
1767,"What is the company policy on festival gift for engineering employees in the benefits framework, scenario #8623?",A festival gift voucher of ₹50000 may be provided in April subject to company policy.,Benefits
1768,"What is the company policy on shift allowance for managerial employees in the attendance framework, scenario #5937?",Employees assigned to the night shift receive a shift allowance of ₹500000 per shift.,Attendance
1769,"What is the company policy on training link for probationary employees in our performance management framework, scenario #4290?",Completion of mandatory learning may influence performance compliance if overdue by more than 22 days.,Performance Management
1770,"What is the company policy on ergonomic support for engineering employees in our workplace & facilities framework, scenario #4721?",Employees may request ergonomic equipment through Facilities subject to role need and stock.,Workplace & Facilities
1771,"What is the company policy on joining extension for managerial employees in the recruitment framework, scenario #7318?",Joining date extensions up to 2 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
1772,"What is the company policy on substance policy for managerial employees in the code of conduct framework, scenario #4727?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
1773,"What is the company policy on clean desk for managerial employees in our workplace & facilities framework, scenario #4345?",Employees must clear sensitive papers from desks before leaving for the day.,Workplace & Facilities
1774,"What is the company policy on parking policy for engineering employees in our workplace & facilities framework, scenario #4318?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 14th.,Workplace & Facilities
1775,"What is the company policy on domestic travel for contract employees in our travel policy framework, scenario #1692?",Domestic travel should normally be booked at least 13 days in advance unless there is a business emergency.,Travel Policy
1776,"What is the company policy on harassment reporting for engineering employees in the code of conduct framework, scenario #6112?",Workplace harassment concerns should be reported within 2 days to HR or the designated committee.,Code of Conduct
1777,"What is the company policy on rehire restriction for full-time employees in our separation framework, scenario #1455?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1778,"What is the company policy on probation review for contract employees in the performance management framework, scenario #8578?",Probation confirmation review takes place around the 22nd month of employment.,Performance Management
1779,"What is the company policy on weekend stay for full-time employees in the travel policy framework, scenario #2651?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1780,"What is the company policy on joining extension for intern employees in the recruitment framework, scenario #1029?",Joining date extensions up to 2 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
1781,"What is the company policy on mfa requirement for sales employees in the it & security framework, scenario #4899?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1782,"What is the company policy on vpn usage for support employees in the it & security framework, scenario #8109?",Remote access to internal systems must use the company VPN for all sessions involving restricted data.,IT & Security
1783,"What is the company policy on visa expense for engineering employees in our travel policy framework, scenario #6292?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
1784,"What is the company policy on air travel for probationary employees in the travel policy framework, scenario #9102?","Employees at level 26 and above may book business class for flights longer than 10 hours, if approved.",Travel Policy
1785,"What is the company policy on visa expense for support employees in the travel policy framework, scenario #3044?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
1786,"What is the company policy on maternity leave for sales employees in the leave policy framework, scenario #4350?",Eligible employees may take 15 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
1787,"What is the company policy on probation review for managerial employees in our performance management framework, scenario #7848?",Probation confirmation review takes place around the 19th month of employment.,Performance Management
1788,"What is the company policy on garden leave for sales employees in the separation framework, scenario #4118?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
1789,"What is the company policy on accident cover for probationary employees in our benefits framework, scenario #356?",Accident insurance cover of ₹7500 is provided for employees on company rolls.,Benefits
1790,"What is the company policy on manager feedback for intern employees in our performance management framework, scenario #6730?",Managers are expected to provide formal feedback at least 12 time(s) per quarter.,Performance Management
1791,"What is the company policy on visitor policy for contract employees in the workplace & facilities framework, scenario #5958?",Visitors must be registered at reception and hosted by an employee at all times.,Workplace & Facilities
1792,"What is the company policy on internet reimbursement for engineering employees in our remote work framework, scenario #7033?",Remote employees may claim internet reimbursement of up to ₹300000 per month.,Remote Work
1793,"What is the company policy on late coming for intern employees in the attendance framework, scenario #2293?",Employees arriving more than 26 minutes late on 5 occasions in a month may receive attendance counseling.,Attendance
1794,"What is the company policy on night shift for engineering employees in our attendance framework, scenario #4621?",Night shift is defined as work performed between 9:30 AM and 6:00 AM.,Attendance
1795,"What is the company policy on salary revision for engineering employees in our compensation framework, scenario #2385?",Salary revisions are normally effective from July based on performance and business conditions.,Compensation
1796,"What is the company policy on childcare support for support employees in the benefits framework, scenario #127?",Eligible employees may claim childcare support up to ₹10000 per month for children up to age 11.,Benefits
1797,"What is the company policy on manager feedback for full-time employees in the performance management framework, scenario #3948?",Managers are expected to provide formal feedback at least 18 time(s) per quarter.,Performance Management
1798,"What is the company policy on performance improvement for engineering employees in the performance management framework, scenario #2381?",A performance improvement plan usually runs for 19 days with defined review checkpoints.,Performance Management
1799,"What is the company policy on attendance correction for contract employees in our attendance framework, scenario #1128?",Attendance correction requests must be submitted within 8 calendar days of the missed punch.,Attendance
1800,"What is the company policy on buyout policy for full-time employees in our separation framework, scenario #3328?",Notice buyout may be allowed for up to 11 days subject to management approval.,Separation
1801,"What is the company policy on salary payment for sales employees in the compensation framework, scenario #2404?",Monthly salary is credited on the 11th working day of each month.,Compensation
1802,"What is the company policy on weekend work for full-time employees in our attendance framework, scenario #8671?",Weekend work requires prior approval from the reporting manager and must be logged within 1 hours.,Attendance
1803,"What is the company policy on weekend work for full-time employees in our attendance framework, scenario #9939?",Weekend work requires prior approval from the reporting manager and must be logged within 13 hours.,Attendance
1804,"What is the company policy on usb policy for intern employees in our it & security framework, scenario #2446?",Use of personal USB devices on company systems is prohibited unless approved for up to 8 days.,IT & Security
1805,"What is the company policy on meeting room for full-time employees in our workplace & facilities framework, scenario #2412?",Meeting rooms should be released if unused for more than 19 minutes after booking time.,Workplace & Facilities
1806,"What is the company policy on exit interview for full-time employees in our separation framework, scenario #53?",Employees are expected to complete the exit interview within 15 working days before their last working day.,Separation
1807,"What is the company policy on international travel for probationary employees in our travel policy framework, scenario #7618?",International travel requires approval from the function head at least 19 working days before departure.,Travel Policy
1808,"What is the company policy on investigation cooperation for managerial employees in our code of conduct framework, scenario #7367?",Employees are required to cooperate with internal investigations and provide information within 26 working days when requested.,Code of Conduct
1809,"What is the company policy on expense reimbursement for probationary employees in our compensation framework, scenario #8695?",Approved expense claims must be submitted within 20 days of the expense date.,Compensation
1810,"What is the company policy on knowledge transfer for managerial employees in the separation framework, scenario #8030?",Knowledge transfer plan must be completed at least 6 working days before exit for critical roles.,Separation
1811,"What is the company policy on emergency drill for managerial employees in the workplace & facilities framework, scenario #2908?",Employees must participate in at least 9 emergency drill(s) per year where scheduled.,Workplace & Facilities
1812,"What is the company policy on rating appeal for intern employees in the performance management framework, scenario #3455?",Rating appeal requests must be submitted within 25 working days of receiving the appraisal outcome.,Performance Management
1813,"What is the company policy on performance improvement for probationary employees in our performance management framework, scenario #3804?",A performance improvement plan usually runs for 22 days with defined review checkpoints.,Performance Management
1814,"What is the company policy on expense reimbursement for contract employees in our compensation framework, scenario #9682?",Approved expense claims must be submitted within 27 days of the expense date.,Compensation
1815,"What is the company policy on knowledge transfer for managerial employees in the separation framework, scenario #4003?",Knowledge transfer plan must be completed at least 7 working days before exit for critical roles.,Separation
1816,"What is the company policy on local travel for full-time employees in the travel policy framework, scenario #4945?",Local travel claims must be submitted within 22 days and supported by receipts where required.,Travel Policy
1817,"What is the company policy on experience letter for probationary employees in the separation framework, scenario #6235?",Experience and relieving letters are issued after clearance completion and payroll closure.,Separation
1818,"What is the company policy on per diem for contract employees in our travel policy framework, scenario #272?",Per diem for approved travel to category-3 locations is ₹15000 per day.,Travel Policy
1819,"What is the company policy on medical fitness for sales employees in our recruitment framework, scenario #4562?",Roles requiring medical fitness clearance must complete the process within 25 days of offer acceptance.,Recruitment
1820,"What is the company policy on hotel cap for probationary employees in the travel policy framework, scenario #1461?",Hotel reimbursement is capped at ₹1200 per night for travel to tier-3 cities.,Travel Policy
1821,"What is the company policy on training link for engineering employees in our performance management framework, scenario #6820?",Completion of mandatory learning may influence performance compliance if overdue by more than 2 days.,Performance Management
1822,"What is the company policy on remote eligibility for engineering employees in our remote work framework, scenario #3754?",engineering employees may work remotely up to 30 days per week subject to role suitability.,Remote Work
1823,"What is the company policy on education support for managerial employees in our benefits framework, scenario #2187?",Job-related certification reimbursement is capped at ₹10000 per year after manager approval.,Benefits
1824,"What is the company policy on timesheet for contract employees in our attendance framework, scenario #7146?",Timesheets must be submitted by Wednesday each week before 9:30 AM.,Attendance
1825,"What is the company policy on parental insurance for probationary employees in the benefits framework, scenario #5387?",Parents may be added to insurance by paying the applicable premium during the enrollment window in May.,Benefits
1826,"What is the company policy on intern conversion for probationary employees in the recruitment framework, scenario #9583?",Intern-to-full-time conversion is evaluated during the final 18 weeks of internship.,Recruitment
1827,"What is the company policy on late coming for sales employees in the attendance framework, scenario #9511?",Employees arriving more than 21 minutes late on 5 occasions in a month may receive attendance counseling.,Attendance
1828,"What is the company policy on timesheet for contract employees in our attendance framework, scenario #7141?",Timesheets must be submitted by Monday each week before 9:30 AM.,Attendance
1829,"What is the company policy on weekend stay for engineering employees in our travel policy framework, scenario #5357?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1830,"What is the company policy on international travel for probationary employees in the travel policy framework, scenario #3568?",International travel requires approval from the function head at least 30 working days before departure.,Travel Policy
1831,"What is the company policy on shift allowance for sales employees in the attendance framework, scenario #2591?",Employees assigned to the evening shift receive a shift allowance of ₹2000 per shift.,Attendance
1832,"What is the company policy on casual leave for intern employees in our leave policy framework, scenario #6990?",Casual leave entitlement is 11 days per year and should normally be applied for at least 4 working day(s) in advance.,Leave Policy
1833,"What is the company policy on office timing for managerial employees in the workplace & facilities framework, scenario #6069?",Office facilities are generally accessible from 8:00 PM to 5:30 PM on business days.,Workplace & Facilities
1834,"What is the company policy on working hours for sales employees in the attendance framework, scenario #7953?",Standard working hours are 8:00 PM to 5:30 PM with a 45-minute meal break.,Attendance
1835,"What is the company policy on offer validity for contract employees in our recruitment framework, scenario #9000?",An employment offer is normally valid for 19 calendar days from the issue date.,Recruitment
1836,"What is the company policy on garden leave for full-time employees in the separation framework, scenario #6986?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
1837,"What is the company policy on knowledge transfer for intern employees in the separation framework, scenario #9152?",Knowledge transfer plan must be completed at least 19 working days before exit for critical roles.,Separation
1838,"What is the company policy on email retention for engineering employees in the it & security framework, scenario #4215?",Official email records are retained for approximately 19 months in line with policy.,IT & Security
1839,"What is the company policy on email retention for contract employees in our it & security framework, scenario #4820?",Official email records are retained for approximately 24 months in line with policy.,IT & Security
1840,"What is the company policy on biometric use for probationary employees in our attendance framework, scenario #499?",Biometric attendance is mandatory for all on-site employees except those specifically exempted by HR for up to 14 days.,Attendance
1841,"What is the company policy on parental insurance for contract employees in the benefits framework, scenario #2293?",Parents may be added to insurance by paying the applicable premium during the enrollment window in March.,Benefits
1842,"What is the company policy on vpn usage for intern employees in our it & security framework, scenario #4001?",Remote access to internal systems must use the company VPN for all sessions involving restricted data.,IT & Security
1843,"What is the company policy on social media for intern employees in our code of conduct framework, scenario #432?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
1844,"What is the company policy on maternity leave for full-time employees in our leave policy framework, scenario #1242?",Eligible employees may take 27 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
1845,"What is the company policy on access card for full-time employees in our workplace & facilities framework, scenario #177?",Lost access cards must be reported within 1 hour(s) and replacement charges may apply.,Workplace & Facilities
1846,"What is the company policy on bonus payout for sales employees in the compensation framework, scenario #341?","Annual performance bonus, where applicable, is paid in November after review completion.",Compensation
1847,"What is the company policy on education support for sales employees in the benefits framework, scenario #7740?",Job-related certification reimbursement is capped at ₹500 per year after manager approval.,Benefits
1848,"What is the company policy on internet reimbursement for managerial employees in our remote work framework, scenario #1042?",Remote employees may claim internet reimbursement of up to ₹15000 per month.,Remote Work
1849,"What is the company policy on phone reimbursement for intern employees in our compensation framework, scenario #1916?",Eligible roles may claim mobile reimbursement up to ₹1000 per month.,Compensation
1850,"What is the company policy on local travel for probationary employees in the travel policy framework, scenario #1753?",Local travel claims must be submitted within 11 days and supported by receipts where required.,Travel Policy
1851,"What is the company policy on training link for intern employees in the performance management framework, scenario #7341?",Completion of mandatory learning may influence performance compliance if overdue by more than 26 days.,Performance Management
1852,"What is the company policy on biometric use for intern employees in our attendance framework, scenario #3046?",Biometric attendance is mandatory for all on-site employees except those specifically exempted by HR for up to 11 days.,Attendance
1853,"What is the company policy on bereavement leave for engineering employees in the leave policy framework, scenario #1735?",Employees may take 12 working days of bereavement leave for immediate family members.,Leave Policy
1854,"What is the company policy on annual leave for full-time employees in the leave policy framework, scenario #4580?",Annual leave entitlement is 15 days per calendar year for full-time employees.,Leave Policy
1855,"What is the company policy on working hours for support employees in the attendance framework, scenario #4240?",Standard working hours are 8:00 PM to 5:00 PM with a 60-minute meal break.,Attendance
1856,"What is the company policy on weekend stay for full-time employees in our travel policy framework, scenario #3673?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1857,"What is the company policy on leave encashment for support employees in our leave policy framework, scenario #6619?",Employees may encash up to 8 unused leave days at year-end if approved by HR and Finance.,Leave Policy
1858,"What is the company policy on hotel cap for probationary employees in our travel policy framework, scenario #6209?",Hotel reimbursement is capped at ₹500 per night for travel to tier-1 cities.,Travel Policy
1859,"What is the company policy on goal setting for engineering employees in our performance management framework, scenario #6248?",Employees must finalize annual goals within 17 days of the performance cycle start.,Performance Management
1860,"What is the company policy on rehire restriction for support employees in the separation framework, scenario #9698?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
1861,"What is the company policy on casual leave for probationary employees in our leave policy framework, scenario #2687?",Casual leave entitlement is 1 days per year and should normally be applied for at least 7 working day(s) in advance.,Leave Policy
1862,"What is the company policy on garden leave for engineering employees in our separation framework, scenario #4426?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
1863,"What is the company policy on canteen subsidy for sales employees in the workplace & facilities framework, scenario #8747?",Eligible employees receive canteen subsidy of ₹1000 per working day.,Workplace & Facilities
1864,"What is the company policy on timesheet for contract employees in the attendance framework, scenario #8323?",Timesheets must be submitted by Wednesday each week before 6:00 PM.,Attendance
1865,"What is the company policy on password reset for full-time employees in our it & security framework, scenario #8067?",Passwords must be changed at least once every 11 days or earlier if compromise is suspected.,IT & Security
1866,"What is the company policy on investigation cooperation for support employees in our code of conduct framework, scenario #4877?",Employees are required to cooperate with internal investigations and provide information within 9 working days when requested.,Code of Conduct
1867,"What is the company policy on incident reporting for engineering employees in the it & security framework, scenario #1988?",Suspected security incidents must be reported within 5 hour(s) of discovery.,IT & Security
1868,"What is the company policy on paternity leave for sales employees in our leave policy framework, scenario #510?",Eligible employees may take 1 working days of paternity leave within 8 days of childbirth or adoption.,Leave Policy
1869,"What is the company policy on whistleblower for probationary employees in our code of conduct framework, scenario #4040?",Whistleblower complaints may be made confidentially through the approved reporting channels.,Code of Conduct
1870,"What is the company policy on knowledge transfer for contract employees in our separation framework, scenario #5019?",Knowledge transfer plan must be completed at least 17 working days before exit for critical roles.,Separation
1871,"What is the company policy on per diem for probationary employees in the travel policy framework, scenario #2175?",Per diem for approved travel to category-2 locations is ₹15000 per day.,Travel Policy
1872,"What is the company policy on remote check-in for intern employees in our remote work framework, scenario #6381?",Remote employees must attend a team check-in at 9:30 AM on every Thursday.,Remote Work
1873,"What is the company policy on probation review for support employees in the performance management framework, scenario #7813?",Probation confirmation review takes place around the 4th month of employment.,Performance Management
1874,"What is the company policy on full and final settlement for engineering employees in our separation framework, scenario #3556?",Full and final settlement is generally processed within 22 days after separation documentation is complete.,Separation
1875,"What is the company policy on travel allowance for managerial employees in the compensation framework, scenario #8024?",Domestic business travel provides a daily allowance of ₹1500 for meals and local transport.,Compensation
1876,"What is the company policy on gifts policy for sales employees in our code of conduct framework, scenario #2974?",Employees may not accept gifts above ₹2500 without written approval.,Code of Conduct
1877,"What is the company policy on comp-off for managerial employees in the leave policy framework, scenario #1728?",Compensatory off earned for approved extra work must be used within 19 days of accrual.,Leave Policy
1878,"What is the company policy on coworking reimbursement for sales employees in our remote work framework, scenario #2470?",The company reimburses up to ₹5000 per month for approved coworking space use in exceptional cases.,Remote Work
1879,"What is the company policy on remote eligibility for contract employees in our remote work framework, scenario #8456?",contract employees may work remotely up to 18 days per week subject to role suitability.,Remote Work
1880,"What is the company policy on emergency drill for managerial employees in the workplace & facilities framework, scenario #2774?",Employees must participate in at least 12 emergency drill(s) per year where scheduled.,Workplace & Facilities
1881,"What is the company policy on access card for managerial employees in the workplace & facilities framework, scenario #4976?",Lost access cards must be reported within 4 hour(s) and replacement charges may apply.,Workplace & Facilities
1882,"What is the company policy on review frequency for intern employees in our performance management framework, scenario #2201?",Performance reviews are conducted quarterly and documented in the HR system.,Performance Management
1883,"What is the company policy on paternity leave for engineering employees in our leave policy framework, scenario #1747?",Eligible employees may take 26 working days of paternity leave within 4 days of childbirth or adoption.,Leave Policy
1884,"What is the company policy on rehire policy for support employees in our recruitment framework, scenario #4747?","Former employees may be considered for rehire after a cooling period of 15 months, subject to records review.",Recruitment
1885,"What is the company policy on attendance correction for managerial employees in our attendance framework, scenario #9792?",Attendance correction requests must be submitted within 15 calendar days of the missed punch.,Attendance
1886,"What is the company policy on data classification for full-time employees in our it & security framework, scenario #6454?",Documents classified as Highly Sensitive may only be shared with authorized recipients.,IT & Security
1887,"What is the company policy on hotel cap for intern employees in the travel policy framework, scenario #4083?",Hotel reimbursement is capped at ₹1500 per night for travel to tier-2 cities.,Travel Policy
1888,"What is the company policy on annual leave for engineering employees in our leave policy framework, scenario #8047?",Annual leave entitlement is 18 days per calendar year for engineering employees.,Leave Policy
1889,"What is the company policy on usb policy for intern employees in our it & security framework, scenario #8784?",Use of personal USB devices on company systems is prohibited unless approved for up to 14 days.,IT & Security
1890,"What is the company policy on employee assistance for managerial employees in the benefits framework, scenario #7294?",The employee assistance program provides up to 29 confidential counseling sessions per year.,Benefits
1891,"What is the company policy on annual leave for managerial employees in our leave policy framework, scenario #3055?",Annual leave entitlement is 26 days per calendar year for managerial employees.,Leave Policy
1892,"What is the company policy on shift allowance for full-time employees in our attendance framework, scenario #1099?",Employees assigned to the rotational shift receive a shift allowance of ₹100000 per shift.,Attendance
1893,"What is the company policy on accident cover for probationary employees in the benefits framework, scenario #2639?",Accident insurance cover of ₹15000 is provided for employees on company rolls.,Benefits
1894,"What is the company policy on remote availability for probationary employees in our remote work framework, scenario #5753?",Employees working remotely must be reachable between 6:00 PM and 4:30 PM on official communication channels.,Remote Work
1895,"What is the company policy on candidate travel for sales employees in the recruitment framework, scenario #1618?",Interview travel reimbursement must be claimed within 30 days of the interview date.,Recruitment
1896,"What is the company policy on joining extension for managerial employees in the recruitment framework, scenario #138?",Joining date extensions up to 12 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
1897,"What is the company policy on screen lock for support employees in the it & security framework, scenario #9721?",Devices must auto-lock after 28 minutes of inactivity.,IT & Security
1898,"What is the company policy on mfa requirement for sales employees in our it & security framework, scenario #3804?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
1899,"What is the company policy on leave balance payout for full-time employees in our separation framework, scenario #4050?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
1900,"What is the company policy on maternity leave for intern employees in our leave policy framework, scenario #8570?",Eligible employees may take 3 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
1901,"What is the company policy on substance policy for contract employees in the code of conduct framework, scenario #5200?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
1902,"What is the company policy on weekend work for managerial employees in our attendance framework, scenario #4102?",Weekend work requires prior approval from the reporting manager and must be logged within 19 hours.,Attendance
1903,"What is the company policy on weekend work for support employees in our attendance framework, scenario #2755?",Weekend work requires prior approval from the reporting manager and must be logged within 21 hours.,Attendance
1904,"What is the company policy on air travel for contract employees in our travel policy framework, scenario #1263?","Employees at level 13 and above may book business class for flights longer than 11 hours, if approved.",Travel Policy
1905,"What is the company policy on domestic travel for contract employees in our travel policy framework, scenario #5765?",Domestic travel should normally be booked at least 22 days in advance unless there is a business emergency.,Travel Policy
1906,"What is the company policy on office timing for contract employees in the workplace & facilities framework, scenario #8552?",Office facilities are generally accessible from 9:00 AM to 4:30 PM on business days.,Workplace & Facilities
1907,"What is the company policy on remote check-in for contract employees in our remote work framework, scenario #9754?",Remote employees must attend a team check-in at 9:30 AM on every Friday.,Remote Work
1908,"What is the company policy on email retention for full-time employees in the it & security framework, scenario #3017?",Official email records are retained for approximately 3 months in line with policy.,IT & Security
1909,"What is the company policy on password reset for contract employees in the it & security framework, scenario #3861?",Passwords must be changed at least once every 28 days or earlier if compromise is suspected.,IT & Security
1910,"What is the company policy on experience letter for managerial employees in our separation framework, scenario #5849?",Experience and relieving letters are issued after clearance completion and payroll closure.,Separation
1911,"What is the company policy on social media for probationary employees in the code of conduct framework, scenario #9949?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
1912,"What is the company policy on accident cover for probationary employees in the benefits framework, scenario #7743?",Accident insurance cover of ₹750 is provided for employees on company rolls.,Benefits
1913,"What is the company policy on weekend stay for contract employees in the travel policy framework, scenario #2426?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
1914,"What is the company policy on substance policy for managerial employees in the code of conduct framework, scenario #752?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
1915,"What is the company policy on paternity leave for sales employees in the leave policy framework, scenario #2561?",Eligible employees may take 27 working days of paternity leave within 5 days of childbirth or adoption.,Leave Policy
